utc_timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency
2015-01-03T11:30:00Z,52696.46,52401.76
2015-01-03T11:45:00Z,52599.82,52244.45
2015-01-03T12:00:00Z,52697.13,51926.76
2015-01-03T12:15:00Z,52230.08,51637.68
2015-01-03T12:30:00Z,52114.3,51158.12
2015-01-03T12:45:00Z,51545.43,51091.66
2015-01-03T13:00:00Z,51223.3,50590.59
2015-01-03T13:15:00Z,50786.04,50358.74
2015-01-03T13:30:00Z,50522.83,50050.15
2015-01-03T13:45:00Z,50176.38,49957.02
2015-01-03T14:00:00Z,50338.79,49940.66
2015-01-03T14:15:00Z,50252.84,49516.03
2015-01-03T14:30:00Z,50606.11,48943.73
2015-01-03T14:45:00Z,50714.22,49599.89
2015-01-03T15:00:00Z,51103.33,50217.91
2015-01-03T15:15:00Z,52536.55,50515.18
2015-01-03T15:30:00Z,53399.69,50811.34
2015-01-03T15:45:00Z,54242.2,51422.52
2015-01-03T16:00:00Z,55416.42,51766.34
2015-01-03T16:15:00Z,55657.23,52654.83
2015-01-03T16:30:00Z,56105.03,52901.94
2015-01-03T16:45:00Z,56235.88,52952.74
2015-01-03T17:00:00Z,56512.53,53335.88
2015-01-03T17:15:00Z,56619.04,52916.28
2015-01-03T17:30:00Z,56186.65,52814.24
2015-01-03T17:45:00Z,55719.19,52744.34
2015-01-03T18:00:00Z,55472.55,52548.47
2015-01-03T18:15:00Z,55843.45,52191.32
2015-01-03T18:30:00Z,54550.54,51749.53
2015-01-03T18:45:00Z,54203.26,51075.21
2015-01-03T19:00:00Z,52837.14,50358.69
2015-01-03T19:15:00Z,51294.78,49403.65
2015-01-03T19:30:00Z,49945.51,48399.74
2015-01-03T19:45:00Z,49126.04,47995.73
2015-01-03T20:00:00Z,48654.62,47723.46
2015-01-03T20:15:00Z,48449.13,47440.46
2015-01-03T20:30:00Z,48235.87,47087.9
2015-01-03T20:45:00Z,48094.63,46858.13
2015-01-03T21:00:00Z,48303.1,47105.24
2015-01-03T21:15:00Z,48673.41,47365.17
2015-01-03T21:30:00Z,47958.41,46976.04
2015-01-03T21:45:00Z,46937.0,46196.89
2015-01-03T22:00:00Z,46065.13,45781.15
2015-01-03T22:15:00Z,45914.17,44411.42
2015-01-03T22:30:00Z,45022.03,43647.91
2015-01-03T22:45:00Z,44706.76,43499.37
2015-01-03T23:00:00Z,43705.69,42918.46
2015-01-03T23:15:00Z,43054.81,41368.87
2015-01-03T23:30:00Z,42582.64,40283.8
2015-01-03T23:45:00Z,41880.21,40006.86
2015-01-04T00:00:00Z,38991.41,39474.46
2015-01-04T00:15:00Z,38722.53,39226.71
2015-01-04T00:30:00Z,38312.65,38850.54
2015-01-04T00:45:00Z,38041.91,38227.31
2015-01-04T01:00:00Z,37304.51,38019.64
2015-01-04T01:15:00Z,37234.33,37794.67
2015-01-04T01:30:00Z,36988.17,37696.47
2015-01-04T01:45:00Z,36799.07,37582.4
2015-01-04T02:00:00Z,36545.88,37943.92
2015-01-04T02:15:00Z,36562.96,38188.34
2015-01-04T02:30:00Z,36590.72,38005.65
2015-01-04T02:45:00Z,36600.46,37745.33
2015-01-04T03:00:00Z,36735.28,37898.64
2015-01-04T03:15:00Z,36665.63,37887.99
2015-01-04T03:30:00Z,36828.23,38075.95
2015-01-04T03:45:00Z,36943.27,37988.38
2015-01-04T04:00:00Z,36933.47,37841.1
2015-01-04T04:15:00Z,36383.69,37605.9
2015-01-04T04:30:00Z,36264.64,37276.99
2015-01-04T04:45:00Z,35762.59,36699.01
2015-01-04T05:00:00Z,34911.31,35956.3
2015-01-04T05:15:00Z,34915.35,35573.46
2015-01-04T05:30:00Z,36111.9,35466.92
2015-01-04T05:45:00Z,36427.86,35354.67
2015-01-04T06:00:00Z,36959.6,35593.37
2015-01-04T06:15:00Z,37297.78,35984.05
2015-01-04T06:30:00Z,39048.87,36692.81
2015-01-04T06:45:00Z,39712.22,37663.32
2015-01-04T07:00:00Z,40121.8,38394.28
2015-01-04T07:15:00Z,40638.99,38993.14
2015-01-04T07:30:00Z,41413.22,39926.46
2015-01-04T07:45:00Z,41975.48,40746.3
2015-01-04T08:00:00Z,42993.4,42249.14
2015-01-04T08:15:00Z,43518.75,43083.17
2015-01-04T08:30:00Z,44144.78,43633.52
2015-01-04T08:45:00Z,44937.7,44259.27
2015-01-04T09:00:00Z,45908.7,44825.57
2015-01-04T09:15:00Z,46622.41,45264.34
2015-01-04T09:30:00Z,47190.34,45790.37
2015-01-04T09:45:00Z,47938.1,46209.92
2015-01-04T10:00:00Z,48985.44,47040.51
2015-01-04T10:15:00Z,50160.36,47777.98
2015-01-04T10:30:00Z,50816.18,48268.47
2015-01-04T10:45:00Z,51046.84,48469.84
2015-01-04T11:00:00Z,51055.07,48666.31
2015-01-04T11:15:00Z,51015.82,48501.45
2015-01-04T11:30:00Z,50847.09,48164.65
2015-01-04T11:45:00Z,50219.3,47761.31
2015-01-04T12:00:00Z,49638.2,47179.29
2015-01-04T12:15:00Z,48936.79,46895.1
2015-01-04T12:30:00Z,48611.76,46429.46
2015-01-04T12:45:00Z,48108.7,46099.06
2015-01-04T13:00:00Z,47944.7,45814.01
2015-01-04T13:15:00Z,47367.53,45231.44
2015-01-04T13:30:00Z,47352.59,44920.18
2015-01-04T13:45:00Z,47404.4,44847.1
2015-01-04T14:00:00Z,47586.06,44865.72
2015-01-04T14:15:00Z,47207.14,44875.73
2015-01-04T14:30:00Z,47180.74,44741.96
2015-01-04T14:45:00Z,47618.08,45028.55
2015-01-04T15:00:00Z,48119.19,45122.57
2015-01-04T15:15:00Z,48698.42,45570.55
2015-01-04T15:30:00Z,49713.38,46272.79
2015-01-04T15:45:00Z,51329.28,47357.52
2015-01-04T16:00:00Z,52691.4,48677.12
2015-01-04T16:15:00Z,53375.71,49828.04
2015-01-04T16:30:00Z,53714.91,50281.87
2015-01-04T16:45:00Z,53817.8,50516.99
2015-01-04T17:00:00Z,54368.11,51257.48
2015-01-04T17:15:00Z,54243.83,51566.55
2015-01-04T17:30:00Z,53988.04,51569.21
2015-01-04T17:45:00Z,53832.74,51377.94
2015-01-04T18:00:00Z,53166.44,51365.59
2015-01-04T18:15:00Z,52725.74,50781.97
2015-01-04T18:30:00Z,52592.21,50348.62
2015-01-04T18:45:00Z,51999.3,49526.73
2015-01-04T19:00:00Z,51296.07,48844.28
2015-01-04T19:15:00Z,50598.52,48107.14
2015-01-04T19:30:00Z,49673.35,47429.62
2015-01-04T19:45:00Z,49402.42,46836.57
2015-01-04T20:00:00Z,49100.52,46863.04
2015-01-04T20:15:00Z,48993.5,46600.77
2015-01-04T20:30:00Z,48791.86,46662.6
2015-01-04T20:45:00Z,48622.6,46858.87
2015-01-04T21:00:00Z,49582.71,47372.93
2015-01-04T21:15:00Z,49238.88,47417.45
2015-01-04T21:30:00Z,48747.5,46807.51
2015-01-04T21:45:00Z,47663.25,45943.53
2015-01-04T22:00:00Z,47179.43,45302.88
2015-01-04T22:15:00Z,46371.64,45041.37
2015-01-04T22:30:00Z,45762.16,44574.81
2015-01-04T22:45:00Z,44782.17,43719.53
2015-01-04T23:00:00Z,43606.97,43814.77
2015-01-04T23:15:00Z,42929.68,43337.44
2015-01-04T23:30:00Z,42302.53,42981.13
2015-01-04T23:45:00Z,41793.62,42571.35
2015-01-05T00:00:00Z,41334.99,42131.39
2015-01-05T00:15:00Z,40712.76,41682.55
2015-01-05T00:30:00Z,40523.09,41288.62
2015-01-05T00:45:00Z,40223.36,41287.77
2015-01-05T01:00:00Z,39828.07,40636.4
2015-01-05T01:15:00Z,39461.57,40445.82
2015-01-05T01:30:00Z,39265.93,40329.5
2015-01-05T01:45:00Z,39230.9,40274.65
2015-01-05T02:00:00Z,39491.36,40383.29
2015-01-05T02:15:00Z,39408.37,40328.68
2015-01-05T02:30:00Z,39551.69,40418.12
2015-01-05T02:45:00Z,39601.42,40487.33
2015-01-05T03:00:00Z,39780.34,40822.59
2015-01-05T03:15:00Z,40227.1,41102.83
2015-01-05T03:30:00Z,40655.66,41508.37
2015-01-05T03:45:00Z,41096.74,41958.73
2015-01-05T04:00:00Z,42549.76,42407.75
2015-01-05T04:15:00Z,43242.79,43243.32
2015-01-05T04:30:00Z,44370.68,44072.32
2015-01-05T04:45:00Z,45561.71,44857.64
2015-01-05T05:00:00Z,47436.01,46786.23
2015-01-05T05:15:00Z,49115.63,48573.65
2015-01-05T05:30:00Z,50931.11,49866.18
2015-01-05T05:45:00Z,52814.1,51055.92
2015-01-05T06:00:00Z,54452.01,52645.98
2015-01-05T06:15:00Z,55639.85,53760.37
2015-01-05T06:30:00Z,56861.42,54438.34
2015-01-05T06:45:00Z,58022.25,55043.98
2015-01-05T07:00:00Z,59284.37,56024.14
2015-01-05T07:15:00Z,59578.93,56169.16
2015-01-05T07:30:00Z,60171.18,56388.22
2015-01-05T07:45:00Z,60405.83,56763.63
2015-01-05T08:00:00Z,60909.18,57106.28
2015-01-05T08:15:00Z,61102.54,57449.32
2015-01-05T08:30:00Z,61327.99,57940.07
2015-01-05T08:45:00Z,61377.2,57729.11
2015-01-05T09:00:00Z,61791.5,58560.97
2015-01-05T09:15:00Z,61938.57,58724.59
2015-01-05T09:30:00Z,62250.04,59391.96
2015-01-05T09:45:00Z,62436.03,59131.76
2015-01-05T10:00:00Z,62823.44,59572.27
2015-01-05T10:15:00Z,63246.16,60153.78
2015-01-05T10:30:00Z,63083.55,60441.6
2015-01-05T10:45:00Z,62918.16,60466.83
2015-01-05T11:00:00Z,62748.68,60278.62
2015-01-05T11:15:00Z,63010.3,60998.57
2015-01-05T11:30:00Z,63092.41,60311.31
2015-01-05T11:45:00Z,62958.32,60946.77
2015-01-05T12:00:00Z,62784.29,60108.34
2015-01-05T12:15:00Z,62170.34,58221.73
2015-01-05T12:30:00Z,61977.45,59938.66
2015-01-05T12:45:00Z,61500.3,59191.07
2015-01-05T13:00:00Z,61385.36,57131.57
2015-01-05T13:15:00Z,61334.73,56879.95
2015-01-05T13:30:00Z,60983.08,57143.94
2015-01-05T13:45:00Z,61025.92,58968.55
2015-01-05T14:00:00Z,60924.33,58939.83
2015-01-05T14:15:00Z,60654.16,58839.41
2015-01-05T14:30:00Z,60278.34,58323.19
2015-01-05T14:45:00Z,59942.84,57829.37
2015-01-05T15:00:00Z,60314.85,58297.21
2015-01-05T15:15:00Z,60845.0,57869.43
2015-01-05T15:30:00Z,61578.22,58224.46
2015-01-05T15:45:00Z,62628.17,58897.79
2015-01-05T16:00:00Z,64051.74,59173.96
2015-01-05T16:15:00Z,65127.03,59679.72
2015-01-05T16:30:00Z,65524.32,60166.65
2015-01-05T16:45:00Z,65816.5,60572.33
2015-01-05T17:00:00Z,65384.71,60578.3
2015-01-05T17:15:00Z,65066.51,60573.64
2015-01-05T17:30:00Z,64613.8,61086.46
2015-01-05T17:45:00Z,64480.25,61306.57
2015-01-05T18:00:00Z,64093.86,60952.13
2015-01-05T18:15:00Z,63600.19,60716.24
2015-01-05T18:30:00Z,63031.32,60167.72
2015-01-05T18:45:00Z,62242.94,59420.22
2015-01-05T19:00:00Z,60840.53,58241.87
2015-01-05T19:15:00Z,59617.36,57424.04
2015-01-05T19:30:00Z,58547.2,56290.03
2015-01-05T19:45:00Z,57642.68,55411.86
2015-01-05T20:00:00Z,57200.17,54731.2
2015-01-05T20:15:00Z,56700.43,54571.15
2015-01-05T20:30:00Z,55975.22,53593.35
2015-01-05T20:45:00Z,55509.49,53133.16
2015-01-05T21:00:00Z,55990.03,52973.54
2015-01-05T21:15:00Z,55421.13,52782.86
2015-01-05T21:30:00Z,54382.26,51743.35
2015-01-05T21:45:00Z,53126.46,50744.35
2015-01-05T22:00:00Z,51978.99,47696.21
2015-01-05T22:15:00Z,50842.0,48813.0
2015-01-05T22:30:00Z,49936.04,47867.73
2015-01-05T22:45:00Z,49500.76,47090.43
2015-01-05T23:00:00Z,48517.64,47284.31
2015-01-05T23:15:00Z,47655.55,42813.41
2015-01-05T23:30:00Z,46829.78,45659.83
2015-01-05T23:45:00Z,46266.27,45104.58
2015-01-06T00:00:00Z,45717.25,44765.45
2015-01-06T00:15:00Z,45085.0,44161.95
2015-01-06T00:30:00Z,44717.94,43706.04
2015-01-06T00:45:00Z,44523.67,43278.52
2015-01-06T01:00:00Z,44306.25,42937.53
2015-01-06T01:15:00Z,44010.44,42669.37
2015-01-06T01:30:00Z,43850.75,43092.65
2015-01-06T01:45:00Z,43892.26,42593.79
2015-01-06T02:00:00Z,44045.72,42744.31
2015-01-06T02:15:00Z,43944.42,42581.85
2015-01-06T02:30:00Z,44066.66,42651.6
2015-01-06T02:45:00Z,44138.82,42920.31
2015-01-06T03:00:00Z,44613.62,43150.09
2015-01-06T03:15:00Z,44456.33,43451.17
2015-01-06T03:30:00Z,44706.22,43750.88
2015-01-06T03:45:00Z,45142.58,44091.02
2015-01-06T04:00:00Z,45687.96,44947.92
2015-01-06T04:15:00Z,46122.62,45404.27
2015-01-06T04:30:00Z,46556.46,46133.83
2015-01-06T04:45:00Z,47297.37,47105.42
2015-01-06T05:00:00Z,48368.0,48691.8
2015-01-06T05:15:00Z,49953.41,49859.46
2015-01-06T05:30:00Z,51542.66,51862.93
2015-01-06T05:45:00Z,52525.43,52300.47
2015-01-06T06:00:00Z,54266.7,54165.86
2015-01-06T06:15:00Z,55147.83,55286.64
2015-01-06T06:30:00Z,56222.44,56067.73
2015-01-06T06:45:00Z,57152.02,56696.4
2015-01-06T07:00:00Z,57636.03,57958.88
2015-01-06T07:15:00Z,57775.28,58131.65
2015-01-06T07:30:00Z,58096.19,58447.02
2015-01-06T07:45:00Z,58308.69,58883.32
2015-01-06T08:00:00Z,58542.99,58959.8
2015-01-06T08:15:00Z,59035.86,59575.49
2015-01-06T08:30:00Z,59533.21,60188.58
2015-01-06T08:45:00Z,60066.57,60444.72
2015-01-06T09:00:00Z,60242.54,60875.39
2015-01-06T09:15:00Z,60557.81,60629.77
2015-01-06T09:30:00Z,60863.26,61188.8
2015-01-06T09:45:00Z,61230.16,61470.16
2015-01-06T10:00:00Z,61398.72,61791.96
2015-01-06T10:15:00Z,61830.71,62063.87
2015-01-06T10:30:00Z,61922.2,62486.36
2015-01-06T10:45:00Z,61824.13,62915.73
2015-01-06T11:00:00Z,61868.98,62770.73
2015-01-06T11:15:00Z,61748.52,62599.79
2015-01-06T11:30:00Z,61557.97,61774.91
2015-01-06T11:45:00Z,61337.21,61597.14
2015-01-06T12:00:00Z,61223.98,60337.35
2015-01-06T12:15:00Z,60865.01,61644.57
2015-01-06T12:30:00Z,60576.87,61649.66
2015-01-06T12:45:00Z,60121.33,60747.54
2015-01-06T13:00:00Z,59564.51,58395.35
2015-01-06T13:15:00Z,59276.79,58136.77
2015-01-06T13:30:00Z,59123.92,60659.36
2015-01-06T13:45:00Z,59070.92,56654.74
2015-01-06T14:00:00Z,59015.37,59718.67
2015-01-06T14:15:00Z,58910.05,59725.69
2015-01-06T14:30:00Z,58684.31,59368.73
2015-01-06T14:45:00Z,58733.18,58967.18
2015-01-06T15:00:00Z,58990.97,59255.91
2015-01-06T15:15:00Z,59496.86,58699.45
2015-01-06T15:30:00Z,60410.03,59143.27
2015-01-06T15:45:00Z,61456.82,59709.2
2015-01-06T16:00:00Z,62757.43,60260.18
2015-01-06T16:15:00Z,63750.3,60701.14
2015-01-06T16:30:00Z,64463.8,61090.7
2015-01-06T16:45:00Z,64904.45,61345.78
2015-01-06T17:00:00Z,64618.64,61715.25
2015-01-06T17:15:00Z,64066.83,61585.28
2015-01-06T17:30:00Z,64064.29,61997.29
2015-01-06T17:45:00Z,64126.01,61756.11
2015-01-06T18:00:00Z,64174.84,61823.09
2015-01-06T18:15:00Z,63613.79,61943.55
2015-01-06T18:30:00Z,63093.99,61375.52
